posting_title,price,rooms,sqm,toilets,floor,link,location,city
"Attico via di Bravetta 724, Pisana - Bravetta, Roma",610000,5,198,2,na,https://www.immobiliare.it/annunci/98186960/,Pisana - Bravetta,Roma
"Villa unifamiliare via della Nocetta 171, Pisana - Bravetta, Roma",1520000,5+,470,3+,na,https://www.immobiliare.it/annunci/102028874/,Pisana - Bravetta,Roma
"Quadrilocale via Giorgio Zoega, Pisana - Bravetta, Roma",395000,4,110,2,na,https://www.immobiliare.it/annunci/100385192/,Pisana - Bravetta,Roma
"Bilocale via La Contea 89, Casetta Mattei - Corviale, Roma",165000,2,53,1,na,https://www.immobiliare.it/annunci/95486528/,Casetta Mattei - Corviale,Roma
"Attico via di Bravetta 764, Pisana - Bravetta, Roma",380000,3,110,2,na,https://www.immobiliare.it/annunci/103456552/,Pisana - Bravetta,Roma
"Appartamento in villa via della Vignaccia, Pisana - Bravetta, Roma",359000,4,109,2,na,https://www.immobiliare.it/annunci/97224242/,Pisana - Bravetta,Roma
"Attico via Borghetto di Vara, Pisana - Bravetta, Roma",479000,3,110,1,na,https://www.immobiliare.it/annunci/102470562/,Pisana - Bravetta,Roma
"Villa unifamiliare via di Bravetta, Pisana - Bravetta, Roma",675000,5,230,3+,na,https://www.immobiliare.it/annunci/93330472/,Pisana - Bravetta,Roma
"Trilocale via dei Malatesta 41, Pisana - Bravetta, Roma",379000,3,106,2,na,https://www.immobiliare.it/annunci/104266945/,Pisana - Bravetta,Roma
"Quadrilocale via Bartolomeo Avanzini, Pisana - Bravetta, Roma",279000,4,129,2,na,https://www.immobiliare.it/annunci/89324595/,Pisana - Bravetta,Roma
Palazzo - Edificio in Vendita,650000,5+,283,2,na,https://www.immobiliare.it/annunci/99169950/,Pisana - Bravetta,Roma
"Bilocale via Ronco Scrivia, Pisana - Bravetta, Roma",190000,2,54,1,na,https://www.immobiliare.it/annunci/97053446/,Pisana - Bravetta,Roma
"Villa unifamiliare via Licio Giorgieri 64, Pisana - Bravetta, Roma",9800000,5+,1200,3+,na,https://www.immobiliare.it/annunci/96674154/,Pisana - Bravetta,Roma
"Villa unifamiliare via della Nocetta, Pisana - Bravetta, Roma",2950000,5+,500,3+,na,https://www.immobiliare.it/annunci/102646436/,Pisana - Bravetta,Roma
"Attico via Attilio Spaccarelli, Pisana - Bravetta, Roma",260000,3,87,1,na,https://www.immobiliare.it/annunci/94744362/,Pisana - Bravetta,Roma
"Trilocale via degli Estensi 203, Pisana - Bravetta, Roma",220000,3,70,1,na,https://www.immobiliare.it/annunci/102296334/,Pisana - Bravetta,Roma
"Quadrilocale via del Fontanile Arenato, Pisana - Bravetta, Roma",570000,4,157,3,na,https://www.immobiliare.it/annunci/103213834/,Pisana - Bravetta,Roma
"Bilocale via degli Ossoli, Pisana - Bravetta, Roma",165000,2,65,1,na,https://www.immobiliare.it/annunci/104296199/,Pisana - Bravetta,Roma
